Athlete Name,10K,10K *,15K,15K *,20 Miles,20 Miles *,20K,20K *,21 Miles,21 Miles *,23 Miles,23 Miles *,24 Miles,24 Miles *,25.2 Miles,25.2 Miles *,25K,25K *,30K,30K *,35K,35K *,40K,40K *,5K,Finish Net,HALF,HALF *
"A Desouza, Renato",7.29,,7.46,,8.47,,7.51,,9.26,,9.04,,9.41,,13.44,,9.1,,8.17,,8.3,,10.05,,7.18,18.11,7.45,
"A. Ferreira Filho, Martin",6.13,,6.15,,6.52,,6.22,,7.03,,6.56,,8.59,,8.1,,6.49,,6.5,,6.49,,7.27,,6.06,7.18,6.2,
"Aakre, Christopher",6.17,,6.24,,6.54,,6.37,,7.15,,6.55,,6.45,,7.53,,6.38,,6.53,,6.4,,6.56,,6.12,6.41,6.25,
"Aarnes, Hans Chr.",5.54,,5.54,,6.1,,5.55,,6.39,,6.05,,5.52,,6.43,,5.59,,6.05,,5.47,,5.58,,5.51,5.58,5.5,
"Aaronson, Keith",8.51,,9.2,,11.06,,9.11,,11.42,,11.04,,11.07,,14.3,,10.0,,10.22,,10.23,,12.36,,8.51,10.05,9.11,
"Aarvold, Anders",6.39,,6.39,,6.56,,6.38,,7.26,,6.57,,6.35,,7.39,,6.44,,6.57,,6.36,,6.47,,6.38,6.5,6.34,
"Abadi, Kidani",6.33,,6.33,,7.38,,6.35,,9.01,,9.01,,8.19,,11.36,,6.42,,7.14,,8.08,,8.12,,6.35,7.48,6.32,
"Abarca, Sergio",6.18,,6.2,,7.4,,6.31,,10.23,,10.57,,10.45,,10.18,,6.47,,7.07,,10.41,,15.25,,6.17,7.59,6.38,
"Abati, Alvaro",8.12,,8.2,,15.35,,8.5,,,,15.51,,15.31,,16.55,,10.38,,14.25,,15.41,,15.52,,8.11,15.35,9.08,
"Abbruzzese, Jared",8.54,,8.56,,10.3,,9.01,,12.16,,11.09,,11.32,,13.29,,9.49,,10.33,,11.02,,12.16,,9.02,11.08,9.06,
"Abdallah, Michael",7.59,,8.1,,8.47,,8.2,,9.29,,9.07,,9.02,,9.43,,8.39,,8.5,,8.52,,9.12,,7.49,8.31,8.18,
"Abdelmassih, Andrew",9.5,,10.11,,13.57,,13.17,,15.03,,10.3,,13.23,,12.14,,12.21,,14.54,,9.23,,18.44,,9.39,9.18,8.57,
"Abdollahian, Davood",6.26,,6.31,,7.55,,6.38,,8.48,,8.27,,8.26,,10.01,,6.49,,7.18,,7.55,,9.0,,6.3,8.16,6.32,
"Abe, Michio",7.4,,7.37,,8.22,,7.51,,9.2,,8.1,,7.56,,9.14,,7.53,,8.21,,7.56,,7.54,,7.14,7.58,7.43,
"Abedi, Aiman",6.41,,6.4,,7.54,,6.54,,9.09,,9.23,,8.53,,10.33,,9.03,,7.41,,7.59,,9.13,,6.35,7.15,8.28,
"Abel, Brendan",9.02,,8.53,,10.07,,9.02,,10.56,,11.01,,11.02,,12.31,,9.1,,9.57,,10.09,,11.47,,9.26,10.19,8.51,
"Abel, Jerrod",7.36,,7.49,,9.37,,7.55,,9.56,,10.37,,11.02,,11.13,,8.1,,8.44,,10.21,,12.11,,7.19,9.49,7.59,
"Abel, Jonathan",6.19,,6.36,,6.21,,6.13,,6.4,,6.26,,6.2,,6.58,,6.15,,6.25,,6.13,,6.17,,6.19,6.19,6.07,
"Abeles, Benjamin",6.43,,6.43,,7.03,,6.46,,7.07,,6.59,,6.4,,7.33,,6.46,,6.51,,6.39,,6.53,,6.42,6.38,6.35,
"Abelson, Karl-Peter",9.16,,9.15,,10.54,,9.52,,12.06,,11.13,,11.21,,12.08,,9.55,,10.33,,11.25,,11.25,,9.13,10.42,9.25,
"Abitbol, Baptiste",6.56,,7.08,,7.48,,7.18,,8.02,,7.39,,8.09,,10.59,,7.11,,7.36,,7.12,,8.07,,7.08,9.0,7.01,
"Abitbol, Matthew",7.35,,7.5,,8.33,,8.01,,9.09,,8.37,,8.31,,9.29,,,8.32,8.19,,8.19,,8.4,,7.19,8.12,7.56,
"Abley, Andrew",7.46,,7.47,,7.49,,7.51,,10.16,,8.01,,7.41,,7.59,,7.52,,8.47,,7.51,,7.25,,7.47,7.03,7.5,
"Abo, Ryan",6.08,,6.09,,6.22,,6.08,,6.43,,6.27,,6.16,,7.3,,6.09,,6.18,,6.12,,6.26,,6.09,6.4,6.06,
"Abouganem, Aaron",6.17,,6.18,,6.3,,6.18,,6.33,,6.29,,6.15,,6.35,,6.18,,6.24,,5.59,,6.17,,6.21,5.54,6.19,
"Abraham, Sean",7.05,,7.13,,8.0,,7.37,,8.09,,8.05,,8.21,,8.22,,7.26,,7.37,,11.27,,7.48,,6.47,7.17,7.21,
"Abrahamsen, Gary",12.11,,12.33,,13.33,,12.25,,15.14,,14.34,,13.5,,14.48,,12.31,,13.16,,14.04,,14.5,,12.07,12.25,11.5,
"Abrante, Alex",6.54,,6.54,,8.16,,7.0,,9.03,,9.24,,8.09,,9.23,,7.09,,7.54,,7.51,,8.35,,6.58,7.06,6.54,
"Abreu, Boris",7.37,,7.38,,8.25,,7.38,,8.56,,8.37,,8.26,,9.2,,7.48,,8.13,,8.16,,8.34,,7.31,7.48,7.37,
"Abreu, Cemi",6.59,,7.12,,9.41,,7.56,,10.31,,9.46,,12.0,,11.39,,8.54,,9.25,,10.5,,9.36,,6.5,8.27,7.47,
"Abreu, Paulo",7.03,,7.01,,7.06,,7.0,,7.41,,7.02,,6.45,,7.21,,7.0,,7.08,,6.43,,6.47,,7.11,6.49,6.45,
"Acarregui, Steven",6.35,,6.29,,7.15,,6.39,,8.09,,7.38,,7.39,,8.57,,6.46,,7.08,,7.2,,8.04,,6.19,8.06,6.34,
"Accornero, Matthew",7.0,,7.03,,8.03,,7.08,,8.27,,8.29,,8.33,,9.0,,7.29,,7.52,,7.54,,8.57,,6.55,7.42,7.12,
"Acevedo, Eduardo",6.22,,6.22,,6.31,,6.23,,6.45,,6.31,,6.13,,7.1,,6.16,,6.28,,6.13,,6.2,,6.18,6.07,6.19,
"Acheson, Ian",6.16,,6.2,,10.15,,6.23,,10.19,,12.5,,14.16,,12.57,,7.24,,8.17,,10.26,,12.38,,6.18,10.41,6.1,
"Aciego Luque, Oscar",7.41,,7.46,,9.06,,8.02,,9.26,,9.12,,8.39,,10.01,,8.24,,8.47,,8.31,,9.09,,7.32,8.27,7.57,
"Acker, Del",9.37,,9.45,,11.06,,10.0,,12.0,,11.13,,10.46,,12.31,,10.23,,10.51,,10.59,,11.07,,9.25,11.33,9.28,
"Ackerman, David",8.49,,8.58,,10.46,,9.24,,12.57,,12.32,,12.23,,15.28,,10.11,,10.44,,11.31,,13.59,,8.58,12.2,9.15,
"Acord, Timothy",8.1,,8.04,,8.55,,8.1,,9.51,,9.38,,9.12,,10.44,,8.11,,8.39,,8.59,,9.17,,7.57,8.4,8.21,
"Acosta, Fabio",8.26,,8.25,,16.25,,8.47,,20.55,,22.16,,21.19,,21.45,,9.0,,10.07,,22.33,,20.59,,8.17,19.07,8.46,
"Acosta, Jose",8.12,,8.13,,8.38,,8.15,,9.13,,8.54,,8.46,,9.55,,8.33,,8.33,,8.38,,8.47,,8.1,8.41,8.18,
"Acosta, Raul",7.38,,7.45,,9.21,,8.01,,10.04,,9.28,,9.01,,10.15,,8.19,,9.03,,9.1,,9.17,,8.03,9.13,8.05,
"Acreman, Ian",6.42,,6.43,,7.09,,6.43,,7.26,,7.22,,7.11,,7.44,,6.44,,6.58,,7.0,,7.2,,6.4,6.4,6.34,
"Adachi, John",8.0,,8.0,,9.43,,8.17,,9.54,,9.44,,9.25,,9.52,,8.44,,9.12,,10.02,,9.43,,7.41,8.39,8.09,
"Adachi, Kazuya",7.03,,7.15,,7.35,,7.27,,8.0,,7.55,,7.51,,7.5,,7.27,,7.39,,7.4,,7.41,,6.41,6.5,7.09,
"Adachi, Shinsuke",6.19,,6.2,,6.58,,6.31,,7.19,,7.01,,7.01,,8.05,,6.31,,6.49,,6.47,,7.09,,6.16,7.13,6.25,
"Adair, Ryan",7.07,,7.24,,8.53,,7.41,,9.53,,9.45,,8.51,,10.3,,8.0,,8.48,,8.34,,9.55,,6.35,8.35,7.21,
"Adam, Christophe",6.48,,7.45,,8.34,,8.38,,9.11,,9.16,,8.41,,11.22,,8.35,,8.47,,9.24,,9.33,,6.38,8.23,7.41,
"Adam, Markus",8.26,,8.29,,10.27,,8.36,,13.21,,11.39,,9.45,,12.28,,9.01,,10.22,,9.58,,13.35,,8.1,10.05,8.43,
"Adam, Thomas",5.39,,5.4,,5.5,,5.4,,6.03,,5.51,,5.43,,6.2,,5.39,,5.48,,5.37,,5.4,,5.35,5.29,5.33,
"Adamek, Jason",8.0,,8.1,,8.17,,8.01,,8.34,,8.14,,8.19,,8.42,,8.11,,8.15,,7.59,,8.25,,7.49,7.29,7.56,
"Adames, Elvin",9.17,,9.07,,12.16,,9.25,,13.41,,13.33,,14.16,,12.17,,9.59,,11.4,,14.16,,14.48,,9.18,9.05,9.34,
"Adamian, Louis",9.28,,9.56,,13.03,,11.26,,13.57,,13.47,,12.47,,12.08,,11.16,,13.28,,12.28,,12.51,,9.11,9.4,9.49,
"Adamides, Eraclis (eros)",9.36,,10.06,,11.23,,10.45,,13.33,,11.29,,11.08,,13.12,,10.48,,11.57,,10.45,,11.28,,8.51,10.11,10.47,
"Adams, Dan",7.24,,7.27,,9.44,,7.52,,11.36,,9.29,,9.17,,10.33,,8.26,,9.25,,9.04,,9.25,,7.26,9.04,7.38,
"Adams, Gene",7.43,,8.13,,8.46,,8.18,,12.53,,10.57,,8.5,,9.32,,9.17,,10.1,,8.31,,12.15,,7.29,8.47,7.59,
"Adams, Griffin",7.49,,7.39,,11.06,,8.17,,14.18,,13.34,,13.37,,12.14,,8.55,,10.34,,11.18,,9.01,,8.35,8.13,8.09,
"Adams, Ian",6.11,,6.13,,7.04,,6.19,,8.27,,7.47,,7.38,,8.25,,6.3,,6.55,,6.55,,7.38,,6.1,6.38,6.2,
"Adams, Jacob",7.01,,7.14,,8.33,,7.31,,9.45,,9.09,,8.58,,10.06,,7.5,,8.08,,8.26,,9.52,,6.52,8.24,7.32,
"Adams, Jesse",7.08,,7.1,,12.56,,7.29,,13.34,,14.24,,12.58,,14.13,,8.21,,10.19,,11.3,,11.34,,7.1,12.06,7.26,
"Adams, John",6.59,,7.08,,9.1,,7.28,,10.36,,8.55,,8.24,,8.45,,7.49,,8.36,,9.0,,8.19,,6.44,7.12,7.31,
"Adams, Johnny",8.18,,8.02,,8.49,,8.01,,9.42,,9.56,,10.2,,11.07,,8.02,,8.21,,9.14,,10.35,,8.36,9.31,7.57,
"Adams, Josh",7.27,,7.27,,10.08,,7.49,,11.09,,10.49,,11.1,,11.19,,8.23,,9.43,,9.49,,10.03,,7.13,8.46,7.59,
"Adams, Joshua",7.08,,7.0,,7.51,,7.07,,8.11,,7.58,,7.34,,7.59,,7.11,,7.31,,7.2,,7.23,,7.02,6.55,6.57,
"Adams, Karl",7.51,,7.58,,8.58,,8.0,,10.19,,9.2,,9.03,,12.52,,8.16,,9.14,,8.23,,10.55,,8.01,8.41,7.59,
"Adams, Robert",10.48,,10.48,,12.57,,11.35,,14.49,,13.13,,12.18,,15.51,,11.54,,12.53,,13.3,,13.08,,10.38,12.11,11.02,
"Adams, Ryan",6.38,,6.47,,7.34,,6.46,,8.46,,8.23,,8.41,,9.08,,6.58,,7.2,,8.24,,8.53,,6.41,7.42,6.41,
"Adams, Samuel",6.31,,6.26,,6.31,,6.28,,6.55,,6.28,,6.18,,6.55,,6.26,,6.37,,6.27,,6.24,,6.34,6.13,6.23,
"Adamshick, Mike",6.38,,6.41,,7.08,,6.44,,7.47,,7.47,,7.2,,8.28,,6.44,,6.56,,6.57,,7.13,,6.38,6.43,6.38,
