Athlete Name,10K,10K *,15K,20 Miles,20K,21 Miles,23 Miles,24 Miles,25.2 Miles,25K,30K,30K *,35K,40K,5K,Finish Net,HALF
"Albertson, Cj",00:29:57,,00:45:17,01:38:22,01:00:31,01:43:43,01:53:43,01:58:43,02:04:58,01:15:49,01:31:26,,01:47:21,02:03:01,00:14:54,02:09:53,01:03:52
"Alexandru, Corneschi",00:31:11,,00:47:15,01:42:57,01:03:12,01:48:43,01:59:16,02:04:34,02:11:13,01:19:00,01:35:38,,01:52:30,02:09:11,00:15:16,02:16:23,01:06:38
"Baum, Lorenz",00:31:11,,00:47:15,01:42:32,01:03:12,01:48:18,01:59:02,02:04:21,02:11:17,01:18:57,01:35:22,,01:52:08,02:09:08,00:15:16,02:16:51,01:06:37
"Chebet, Evans",00:28:53,,00:44:05,01:36:38,00:58:52,01:41:44,01:51:07,01:55:53,02:02:10,01:14:05,01:29:45,,01:45:10,02:00:13,00:14:21,02:07:22,01:02:08
"Eiler, Ryan",00:31:11,,00:47:14,01:41:58,01:03:11,01:47:30,01:57:37,02:02:40,02:09:05,01:18:57,01:34:54,,01:51:10,02:07:04,00:15:22,02:14:22,01:06:37
"Esa, Mohamed",00:28:53,,00:44:05,01:36:38,00:59:00,01:41:44,01:51:28,01:56:13,02:02:15,01:14:08,01:29:46,,01:45:14,02:00:24,00:14:22,02:06:58,01:02:16
"Haileselassie, Yemane",00:29:57,,00:45:17,01:39:33,01:00:45,01:45:18,01:56:09,02:01:58,02:08:57,01:16:10,01:32:24,,01:49:16,02:06:50,00:14:54,02:14:44,01:04:05
"Kibet, Elkanah",00:29:17,,00:44:30,01:39:13,00:59:53,01:44:52,01:55:17,02:00:31,02:07:10,01:15:38,01:31:54,,01:48:38,02:05:07,00:14:23,02:12:32,01:03:15
"Kitata, Shura",00:29:17,,00:44:30,01:37:46,00:59:41,01:43:20,01:53:52,01:59:01,02:05:35,01:14:54,01:30:42,,01:47:10,02:03:33,00:14:26,02:10:52,01:02:58
"Kobe, Primoz",00:31:12,,00:47:16,01:42:32,01:03:12,01:48:05,01:58:29,02:03:34,02:09:54,01:18:58,01:35:22,,01:51:50,02:08:00,00:15:21,02:14:56,01:06:38
"Korir, Albert",00:28:54,,00:44:05,01:36:38,00:58:54,01:41:44,01:51:20,01:56:15,02:02:46,01:14:06,01:29:45,,01:45:10,02:00:45,00:14:22,02:07:47,01:02:08
"Korir, John",00:28:54,,00:44:06,01:36:37,00:58:53,01:41:44,01:51:07,01:55:54,02:02:14,01:14:06,01:29:45,,01:45:10,02:00:13,00:14:22,02:07:40,01:02:08
"Kotut, Cybrian",00:28:53,,00:44:04,01:36:37,00:58:53,01:41:47,01:52:03,01:57:30,02:04:41,01:14:05,01:29:45,,01:45:18,02:02:31,00:14:22,02:10:29,01:02:08
"Lemma, Sisay",00:28:28,,00:42:43,01:33:48,00:57:13,01:39:15,01:49:23,01:54:23,02:00:54,01:11:44,01:26:56,,01:42:56,01:58:51,00:14:21,02:06:17,01:00:19
"Miranda, Robert",00:30:58,,00:46:46,01:42:23,01:02:44,01:48:12,01:58:51,02:04:08,02:10:55,01:18:39,01:35:04,,01:52:02,02:08:44,00:15:16,02:16:28,01:06:13
"Moen, Sondre",00:29:47,,00:44:39,01:37:05,00:59:40,01:42:31,01:52:56,01:58:17,02:05:31,01:14:45,01:30:13,,01:46:14,02:03:23,00:14:53,02:11:18,01:02:57
"Morii, Yuma",00:29:32,,00:45:12,01:38:47,01:00:44,01:44:08,01:54:05,01:58:58,02:05:04,01:16:08,,01:31:48,01:47:47,02:03:12,00:14:26,02:09:59,01:04:05
"Mpofu, Isaac",00:29:17,,00:44:30,01:37:14,00:59:46,01:42:31,01:52:15,01:57:05,02:03:17,01:15:02,01:30:29,,01:46:03,02:01:22,00:14:26,02:08:17,01:03:06
"O'Connor, Grant",00:31:08,,00:46:57,01:41:58,01:02:53,01:47:30,01:58:16,02:03:39,02:10:35,01:18:40,01:34:52,,01:51:24,02:08:25,00:15:22,02:16:17,01:06:19
"Osako, Suguru",00:29:57,,00:45:17,01:38:53,01:00:44,01:44:27,01:54:50,01:59:56,02:06:24,01:16:09,01:31:53,,01:48:14,02:04:25,00:14:54,02:11:44,01:04:05
"Otsu, Kento",,00:31:36,00:46:58,01:44:11,01:03:26,01:49:47,02:00:35,02:05:55,02:12:38,01:20:04,01:36:53,,01:53:44,02:10:36,00:15:05,02:17:57,01:07:02
"Shiohira, Jacob",00:31:03,,00:46:58,01:42:22,01:02:53,01:48:00,01:58:40,02:04:03,02:11:11,01:18:40,01:35:05,,01:51:51,02:08:56,00:15:16,02:17:08,01:06:19
"Smyth, Patrick",00:31:12,,00:47:15,01:42:28,01:03:11,01:48:04,01:58:31,02:03:44,02:10:24,01:18:57,01:35:11,,01:51:50,02:08:25,00:15:21,02:15:45,01:06:37
"Takeuchi, Ryoma",,00:31:16,00:45:17,01:41:26,01:00:59,01:47:15,01:58:18,02:03:51,02:10:58,01:17:10,01:34:01,,01:51:17,02:08:48,00:14:54,02:16:43,01:04:27
"Talbi, Zouhair",00:28:55,,00:44:04,01:36:37,00:59:17,01:42:16,01:52:51,01:58:14,02:05:07,01:14:17,01:29:46,,01:46:04,02:02:58,00:14:21,02:10:45,01:02:33
